file	parsed
supreme_court_of_the_united_states/documents/10cdc07a501324b5.xml	NESGODA v. U.S., 08-10968 (U.S. 10-5-2009) LEE R. NESGODA v. UNITED STATES No. 08-10968 October 5, 2009.
supreme_court_of_the_united_states/documents/10cdc07a501324b5.xml	The petitions for writs of certiorari are denied.
supreme_court_of_the_united_states/documents/10cdc07a501324b5.xml	Page 32
supreme_court_of_the_united_states/documents/d989f05f8f117b41.xml	JEWELL v. COX ENTERPRISES, INC., 537 U.S. 814 (2002) JEWELL v. COX ENTERPRISES, INC., ET AL. CERTIORARI TO THE COURT OF APPEALS OF GEORGIA.
supreme_court_of_the_united_states/documents/d989f05f8f117b41.xml	No. 01-1627.
supreme_court_of_the_united_states/documents/d989f05f8f117b41.xml	October 7, 2002.
supreme_court_of_the_united_states/documents/d989f05f8f117b41.xml	Ct.
supreme_court_of_the_united_states/documents/d989f05f8f117b41.xml	App. Ga.
supreme_court_of_the_united_states/documents/d989f05f8f117b41.xml	Certiorari denied.
supreme_court_of_the_united_states/documents/d989f05f8f117b41.xml	Reported below: 251 Ga.
supreme_court_of_the_united_states/documents/d989f05f8f117b41.xml	App. 808 , 555 S.E.
supreme_court_of_the_united_states/documents/d989f05f8f117b41.xml	2d 175 .
supreme_court_of_the_united_states/documents/14665a7098797607.xml	LINYARD v. U.S., 10-8176 (U.S. 2-22-2011) 131 S.Ct.
supreme_court_of_the_united_states/documents/14665a7098797607.xml	1517 CARL L. LINYARD v. UNITED STATES No. 10-8176 February 22, 2011.
supreme_court_of_the_united_states/documents/14665a7098797607.xml	The petitions for writs of certiorari are denied.
supreme_court_of_the_united_states/documents/14665a7098797607.xml	Page 15
supreme_court_of_the_united_states/documents/55ab611aabe6f683.xml	PURNELL v. COHEN, 10-7939 (U.S. 2-22-2011) 131 S.Ct.
supreme_court_of_the_united_states/documents/55ab611aabe6f683.xml	1493 KIM PURNELL v. WARDEN COHEN No. 10-7939 February 22, 2011.
supreme_court_of_the_united_states/documents/55ab611aabe6f683.xml	The petitions for writs of certiorari are denied.
supreme_court_of_the_united_states/documents/55ab611aabe6f683.xml	Page 11
supreme_court_of_the_united_states/documents/46ac55fc68d09c5f.xml	JONES v. BOOK, 07-6291 (U.S. 10-29-2007) 128 S.Ct.
supreme_court_of_the_united_states/documents/46ac55fc68d09c5f.xml	508 CHRISTOPHER A. JONES v. BILL BOOK, ET AL. No. 07-6291 October 29, 2007.
supreme_court_of_the_united_states/documents/46ac55fc68d09c5f.xml	CERTIORARI DENIED The petition for writ of certiorari is denied.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	HELVERING v .
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	O'DONNELL, 303 U.S. 370 (1938) 58 S.Ct.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	619 HELVERING, COMMISSIONER OF INTERNAL REVENUE, v .
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	O'DONNELL.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	CERTIORARI TO THE CIRCUIT COURT OF APPEALS FOR THE NINTH CIRCUIT.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	No. 406.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	Argued February 9, 10, 1938.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	Decided March 7, 1938.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	P. ___.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	90 F.2d 907 , reversed.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	CERTIORARI, 302 U.S. 676 , to review the affirmance of a decision of the Board of Tax Appeals, 32 B.T.A.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	1277 , which overruled a deficiency income tax assessment.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	Assistant Solicitor General Bell , with whom Solicitor General Reed, Assistant Attorney General Morris , and Messrs.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	Sewall Key and A.F.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	Prescott were on the brief, for petitioner.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	Mr. A. Calder Mackay , with whom Mr. Thomas R. Dempsey was on the brief, for respondent.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	Page 371  MR. CHIEF JUSTICE HUGHES delivered the opinion of the Court.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	Respondent, Thomas A. O'Donnell, owned one-third of the capital stock of the San Gabriel Petroleum Company.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	By contract of January 9, 1918, he sold this stock to the Petroleum Midway Company, Ltd.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	As consideration, the Midway Company agreed to pay to respondent one-third of the net profits from the development and operation of the oil and gas properties then owned by the San Gabriel Company and which the Midway Company agreed to acquire.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	That acquisition was made, the properties thus acquired were developed and operated, and one-third of the net profits thus derived were paid to respondent to August 4, 1926.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	With respect to such payments in the years 1925 and 1926, respondent claimed deduction for depletion, which the Board of Tax Appeals allowed, overruling the Commissioner of Internal Revenue.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	32 B.T.A.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	1277 .
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	The Circuit Court of Appeals affirmed the decision of the Board.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	90 F.2d 907 .
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	We granted certiorari.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	See Helvering v. Bankline Oil Co., ante , p. 362.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	The question is whether respondent had an interest, that is, a capital investment, in the oil and gas in place.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	Palmer v. Bender , 287 U.S. 551 , 557 ; Helvering v. Twin Bell Syndicate , 293 U.S. 312 , 321 ; Thomas v. Perkins , 301 U.S. 655 , 661 ; Helvering v. Bankline Oil Co., supra .
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	As a mere owner of shares in the San Gabriel Company, respondent had no such interest.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	Treasury Regulations No. 69, Art.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	201.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	The ownership of the oil and gas properties was in the corporation.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	When the Midway Company acquired these properties from the San Gabriel Company and operated them, the Midway Company became the owner of the oil and gas produced.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	It was the owner of the gross proceeds or income upon which the statutory allowance for depletion was to be computed.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	Page 372 Helvering v. Twin Bell Syndicate, supra .
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	The agreement to pay respondent one-third of the net profits derived from the development and operation of the properties was a personal covenant and did not purport to grant respondent an interest in the properties themselves.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	If there were no net profits, nothing would be payable to him.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	No trust was declared by which respondent could claim an equitable interest in the res .
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	As consideration for the sale of his stock in the San Gabriel Company respondent bargained for and obtained an economic advantage from the Midway Company's operations but that advantage or profit did not constitute a depletable interest in the oil and gas in place.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	Palmer v. Bender, supra; Helvering v. Bankline Oil Co., supra .
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	The judgment of the Circuit Court of Appeals is reversed and the cause is remanded for further proceedings in conformity with this opinion.
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	Reversed .
supreme_court_of_the_united_states/documents/812c3e7b4a412b38.xml	MR. JUSTICE CARDOZO and MR. JUSTICE REED took no part in the consideration and decision of this case.
supreme_court_of_the_united_states/documents/719df466f0c40637.xml	DENNIS v. DEPT. OF JUSTICE, 543 U.S. 884 (2004) 125 S.Ct.
supreme_court_of_the_united_states/documents/719df466f0c40637.xml	96 DENNIS v. DEPARTMENT OF JUSTICE ET AL. No. 04-5143.
supreme_court_of_the_united_states/documents/719df466f0c40637.xml	October 4, 2004.
supreme_court_of_the_united_states/documents/719df466f0c40637.xml	Certiorari Denied.
supreme_court_of_the_united_states/documents/719df466f0c40637.xml	(See also No. 03-10259, supra.
supreme_court_of_the_united_states/documents/719df466f0c40637.xml	).
supreme_court_of_the_united_states/documents/719df466f0c40637.xml	C.A.
supreme_court_of_the_united_states/documents/719df466f0c40637.xml	11th Cir. Certiorari denied.
supreme_court_of_the_united_states/documents/a94e127eb3b8f25d.xml	TAMAYO-TAPIA v. UNITED STATES, 543 U.S. 1171 (2005) 125 S.Ct.
supreme_court_of_the_united_states/documents/a94e127eb3b8f25d.xml	1361 TAMAYO-TAPIA v. UNITED STATES.
supreme_court_of_the_united_states/documents/a94e127eb3b8f25d.xml	No. 04-8031.
supreme_court_of_the_united_states/documents/a94e127eb3b8f25d.xml	February 22, 2005.
supreme_court_of_the_united_states/documents/a94e127eb3b8f25d.xml	Certiorari denied.
supreme_court_of_the_united_states/documents/a94e127eb3b8f25d.xml	C.A.
supreme_court_of_the_united_states/documents/a94e127eb3b8f25d.xml	9th Cir. Certiorari denied.
supreme_court_of_the_united_states/documents/a94e127eb3b8f25d.xml	Reported below: 104 Fed. Appx. 674.
supreme_court_of_the_united_states/documents/a94e127eb3b8f25d.xml	Page 1172
supreme_court_of_the_united_states/documents/1218f4ecc9aa67ad.xml	PARDUE v. UNITED STATES, 543 U.S. 1169 (2005) 125 S.Ct.
supreme_court_of_the_united_states/documents/1218f4ecc9aa67ad.xml	1353 PARDUE v. UNITED STATES.
supreme_court_of_the_united_states/documents/1218f4ecc9aa67ad.xml	No. 04-7920.
supreme_court_of_the_united_states/documents/1218f4ecc9aa67ad.xml	February 22, 2005.
supreme_court_of_the_united_states/documents/1218f4ecc9aa67ad.xml	Certiorari denied.
supreme_court_of_the_united_states/documents/1218f4ecc9aa67ad.xml	C.A.
supreme_court_of_the_united_states/documents/1218f4ecc9aa67ad.xml	1st Cir. Certiorari denied.
supreme_court_of_the_united_states/documents/1218f4ecc9aa67ad.xml	Reported below: 385 F. 3d 101 .
supreme_court_of_the_united_states/documents/51b83b48370be1af.xml	TORRES-TONTLE v. U.S., 09-5219 (U.S. 10-5-2009) JOSE A. TORRES-TONTLE v. UNITED STATES No. 09-5219 October 5, 2009.
supreme_court_of_the_united_states/documents/51b83b48370be1af.xml	The petition for writ of certiorari is denied.
supreme_court_of_the_united_states/documents/51b83b48370be1af.xml	Page 46
supreme_court_of_the_united_states/documents/9b45f83f3862c31b.xml	OSBORNE v. UNITED STATES, 544 U.S. 1009 (2005) 125 S.Ct.
supreme_court_of_the_united_states/documents/9b45f83f3862c31b.xml	1965 OSBORNE v. UNITED STATES.
supreme_court_of_the_united_states/documents/9b45f83f3862c31b.xml	No. 04-9449.
supreme_court_of_the_united_states/documents/9b45f83f3862c31b.xml	April 25, 2005.
supreme_court_of_the_united_states/documents/9b45f83f3862c31b.xml	Certiorari Denied.
supreme_court_of_the_united_states/documents/9b45f83f3862c31b.xml	C.A.
supreme_court_of_the_united_states/documents/9b45f83f3862c31b.xml	6th Cir. Certiorari denied.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	PULLMAN PALACE CAR COMPANY v. SPECK, 113 U.S. 84 (1885) PULLMAN PALACE CAR COMPANY Others v .
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	SPECK Others.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	APPEAL FROM THE CIRCUIT COURT OF THE UNITED STATES FOR THE NORTHERN DISTRICT OF ILLINOIS.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	Submitted December 18, 1884.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	Decided January 5, 1885.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	This suit in equity, began in the State courts of Illinois, was removed to the Circuit Court of the United States, and thence remanded to the State court.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	The defendants appealed from the order remanding it.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	Mr. Edward S. Isham and Mr. Huntingdon W. Jackson for appellants.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	Mr. A.M.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	Pence for appellees.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	MR. JUSTICE MILLER delivered the opinion of the court.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	This is an appeal from an order of the Circuit Court for the Page 85 Northern District of Illinois, remanding to the State court a case which had been removed from that court into the Circuit Court.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	The removal was prayed for in the petition on the ground that the controversy was between aliens and citizens of the State of Illinois, and one of the points argued before us is that other parties to the suit, with interest opposed to that of the appellants, at whose instance the removal was made, are citizens also of Illinois, and for that reason the suit was not removable.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	But we do not pass on this point, because we are of opinion that the application for removal came too late.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	The act of March 3, 1875, under which this removal was asked, requires of the party seeking it that he or they "make and file a petition in such suit, in such State court, before or at the term at which such cause could be first tried, and before the trial thereof, for the removal of such suit into the Circuit Court.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	The reasons for this were obviously that the plaintiff, who had selected the State court as his forum, should not be permitted to change it after calling his adversary there, and that the defendant, who had a right of removal, and failed to exercise it at the earliest period possible, should be presumed to have acquiesced in the forum chosen by the plaintiff.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	The law remained in this condition until an act of Congress of July 27, 1866, 14 Stat. 306 , authorized an alien, or citizen of a State other than that in which the suit is brought, to remove the cause, though there be other defendants who are citizens of that State, when there can be a final determination of the controversy, so far as he is concerned, without the presence of the other defendants.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	In this class of cases the petition for removal could be filed at any time before the trial or final hearing of the cause.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	An act to amend this act, approved March 2, 1867, 14 Stat. 558 , authorized either plaintiff or defendant in a Page 86 State court, when they were citizens of different States, to remove the suit, on account of prejudice or local influence, into the Circuit Court of the United States, if he filed in the State court an affidavit of the existence of this cause of removal, at any time before the final hearing or trial of the suit.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	These latter acts do not speak of terms of the courts, or of the appearance of the moving party, but, using the words hearing and trial in their appropriate sense of a hearing in chancery and a trial at law, permit the removal at any time before the hearing or the trial is begun.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	Removal Cases , 100 U.S. 457 .
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	The act of 1875 which governs the case before us, while superseding by its general provisions nearly all the removal statutes, prescribes a rule which is neither so stringent as the act of 1789, nor so lax as those of 1866 and 1867.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	While the party who has a case for removal is not put to his election to exercise or abandon the right to remove at the moment of entering his appearance, he is not permitted unreasonably to delay this election during all the period incident to the preparation of the case, until both parties find themselves in condition to go to trial at law, or are ready for a hearing in chancery.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	The later act clearly requires more diligence in making the election than this.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	If it had intended to enact that the removing party had until the case was ready for trial on both sides, or was fully at issue, or was noticed or set down for trial, it would have been easy to indicate this in words.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	The language, however, which was adopted means a very different thing.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	It is not the time when the case stands ready for trial on the calendar, but the term at which it could be first tried.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	Not the term at which the party can no longer delay a trial, but the term at which it could be first tried.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	These words have no meaning if they do not mean the first term after the commencement of the suit at which a trial was in order, when such trial was a thing which the urging or pursuing party had a right to look for, and to put his adversary to a showing if he desired a continuance.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	In the language of this court, "the election must be made at the first term at which the cause is in law triable.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	" Babbitt v. Clark , 103 U.S. 606 .
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	In other words, at that term in which, according to the rules of procedure of the court, Page 87 whether they be statutory or rules of the court's adoption, the cause would stand for trial if the parties had taken the usual steps as to pleading and other preparations.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	This term at which the case could be first tried is to be ascertained by these rules, and not by the manner in which the parties have complied with them, or have been excused for non-compliance by the court or by stipulation among themselves.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	On this point the language of McCrary, circuit judge, in Murray v. Holden , 1 McCrary, 341, is very pertinent.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	"One of the objects," he says, "of the act of 1875 was to prevent the abuses which had been practised under the acts of 1866 and 1867, which allowed a removal at any time before the final hearing.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	It was evidently the purpose of Congress to fix an earlier and a definite time, which would not permit the litigant to experiment in the State court until satisfied he would fail there, and then change his forum.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	, a term at which a cause may for the first time be called for trial.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	In practice but few contested cases are tried at the first trial term, and it often happens that controversies arise upon questions of pleading, so that, as in this case, no issues of fact are joined at that term.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	It is nevertheless the term at which, within the meaning of the law, such cases first could be tried, and therefore is the term at or before which the petition for removal must be filed.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	"The case of Babbitt v. Clark, supra , in this court, is also in point.
supreme_court_of_the_united_states/documents/537e17b44effc621.xml	The court there says: "The act of Congress does not provide for the removal of a cause at the first term at which a trial can be had on the issues as finally settled by leave of court or otherwise, but at the first term at which the cause, as a cause, could be tried.
