,sentence_id,case_caption,case_date,phrase_id,phrase_stem,sentence,is_ws,is_first_ws
64670,53029918-ec4d-4398-b50f-fcd9b8b97b7a,"UNITED STATES OF AMERICA v. KIM, 176 F.3d 1126 (9th Cir. 1999)",1999-04-29,12,entrap complet defens crimin design origin govern agent induc citizen persuas deceit commit crime would commit absenc induc three thing occur,It is well settled that entrapment is a complete defense when the criminal design originates with a government agent who induces a citizen by persuasion or deceit to commit a crime which he would not have committed in the absence of such inducement if three things occurred:,True,True
68263,72db51ea-c702-43ec-a824-450061913346,"AIKENS v. INGRAM, 612 F.3d 285 (4th Cir. 2010)",2010-07-06,13,rule 60 b 6 serv substitut appeal,"It is well established that Rule 60(b)(6) does not serve as a substitute for appeal. See Dowell, 993 F.2d at 48(citing Ackermann, 340 U.S. at 198, 71 S.Ct. 209);Burnley, 988 F.2d at 3.",True,True
61882,2cf5534f-5a81-4932-a065-6f98bb37dc27,"UNITED STATES v. WALKER, 313 F.2d 236 (6th Cir. 1963)",1963-02-04,14,crimin case defend gener charact cannot attack govern unless evid good charact first introduc defend,It is well settled law that in a criminal case the defendant''s general character cannot be attacked by the Government unless evidence as to his good character is first introduced by the defendant.,True,True
50158,8502fb05-80d8-4a1a-b6b1-7777a83f769b,"S.V. v. SHERWOOD SCHOOL DIST., 254 F.3d 877 (9th Cir. 2001)",2001-06-26,15,specif statut control gener statut,"It is a well-established tenet of statutory construction that a specific statute controls over a general statute. United States v. Navarro,160 F.3d 1254, 1256-57 (9th Cir. 1998); Davis v. Wasco Intermediate Educ.Dist.,286 Or. 261, 593 P.2d 1152, 1158 (1979).",True,True
69211,6a9cb603-8dba-4ea3-b5f4-c5b724ba9029,"U.S. v. ROSTOFF, 53 F.3d 398 (1st Cir. 1995)",1995-04-24,16,sentenc guidelin appli offens straddl effect date guidelin novemb 1 1987,"It is well established that the sentencing guidelines apply to offenses that straddle the effective date of the guidelines (November 1, 1987).See United States v. David,940 F.2d 722, 739 (1st Cir.),cert. denied,502 U.S. 989, 112 S.Ct. 605, 116 L.Ed.2d 628(1991).",True,True
67015,3e912577-0656-4b54-8e60-f90d54383349,"KELLERAN v. ANDRIJEVIC, 825 F.2d 692 (2nd Cir. 1987)",1987-08-04,18,issu resolv given preclus effect actual litig determin valid final judgment,"It is a well-established principle of res judicata, however, that issues """"resolved"""" are to be given preclusive effect only when """"actually litigated and determined by a valid and final judgment."""" Restatement (Second) of Judgments § 27.",True,True
65355,72d9e7e8-3289-4312-96c9-72dd4149a9f1,"WEINBRAND v. PRENTIS, 4 F.2d 778 (6th Cir. 1925)",1925-03-06,19,proceed deport alien immigr statut may summari sens trial crime offens govern rule trial plead evid even hearsay evid inadmiss decis execut offic charg execut deport act arriv fair hear upon substanti evid abus discret commit statut final habea corpu court cannot decid controvert question fact must accept find immigr author absenc depriv fair opportun heard unfair action,"It is well settled that proceedings for the deportation of an alien under the immigration statutes may be summary, and are in no sense a trial for a crime or offense, nor governed by the rules of such trials as to pleadings and evidence; that even hearsay evidence is not inadmissible; that the decisions of executive officers charged with the execution of the Deportation Act, if arrived at after fair hearing and upon substantial evidence, and with no abuse of the discretion committed to them by the statutes, are final; and that on habeas corpus the court cannot decide controverted questions of fact, but must accept the findings of the immigration authorities in the absence of deprivation of fair opportunity to be heard or other unfair action.",True,True
64336,a09b2ed9-eb9a-484a-9c99-0e519a702724,"KING v. RICHARDSON, 136 F.2d 849 (4th Cir. 1943)",1943-06-19,20,doctrin merger appli effect would prejudic right innoc third person,"It is well settled also that the doctrine of merger will not be applied where its effect would be to prejudice the rights of innocent third persons. 19 Am.Jur. 593; 31 C.J.S. Estates, § 126, p. 149, 150.",True,True
67909,fd909f5d-a3b1-4995-a644-8352cff9d235,"CHICAGO, BURLINGTON  QUINCY RD. CO. v. U.S., 439 F.2d 1224 (Ct.Cl. 1971)",1971-04-16,21,govern may invok defens estoppel prevent carrier recov addit charg carrier caus govern reli detriment lower rate,It is well established that the Government may invoke the defense of estoppel to prevent a carrier from recovering additional charges where the carrier has caused the Government to rely to its detriment on a lower rate.,True,True
69729,0bd2330f-27d8-4202-b9b5-e6a834138726,"WILSON v. UNITED STATES, 59 F.2d 390 (3rd Cir. 1932)",1932-05-20,22,duti everi citizen commun govern knowledg violat law commun privileg protect ground public polici,"It is well established that it is the duty of every citizen to communicate to the government his knowledge of the violation of its laws, and that such communications are privileged and will be protected on the ground of public policy.",True,True
65592,85a14493-70ce-4fbd-9dbd-db1ea672c899,"RUSH v. TRAVELERS INDEM. CO., 891 F.2d 267 (10th Cir. 1989)",1989-12-08,24,conflict law rule forum state oklahoma must appli determin applic law,"It is well established that the conflict of laws rules of the forum state, Oklahoma, must be applied to determine the applicable law. See Klaxon Co.v.",True,True
69688,2ecc37f7-28f1-46f6-b364-13f1044aee0c,"U.S. v. REILLY, 33 F.3d 1396 (3rd Cir. 1994)",1994-07-28,25,upon consider evid whole suffici foundat laid support introduct contradictori evid goe weight assign trier fact admiss,"It is well-established that """"upon consideration of the evidence as a whole, if a sufficient foundation has been laid in support of introduction, contradictory evidence goes to the weight to be assigned by the trier of fact and not to admissibility."""" Graham, Federal Practice and Procedure: Evidence § 6821 at 850 (citation omitted); 5 Weinstein''s Evidence ¶ 901(a)[01] at 901-17 (""""The issue of credibility and probative force is for the jury."""").",True,True
57160,e343d95b-da74-41dd-a633-f99c65019298,"ILLINOIS CENT. GULF R. CO. v. INTL. PAPER CO., 824 F.2d 403 (5th Cir. 1987)",1987-08-18,26,saa violat compel abandon usual rule concern causat neglig lawyer judg fond,It is well established that SAA violations compel the abandonment of all the usual rules concerning causation and negligence of which lawyers and judges are so fond.,True,True
57818,39682d0c-9b98-46f3-aee9-56f4bc0c5288,"O.K. JELKS  SON v. TOM HUSTON PEANUT CO., 52 F.2d 4 (5th Cir. 1931)",1931-08-24,27,defend reli upon oral testimoni show anticip must clear convinc beyond reason doubt,It is well settled that where a defendant relies upon oral testimony to show anticipation it must be clear and convincing beyond reasonable doubt.,True,True
69202,9cb280da-caee-45e4-8e57-663c3a855304,"LARSEN v. EMPRESAS EL YUNQUE, INC., 812 F.2d 14 (1st Cir. 1986)",1986-12-30,28,unit state sovereign immun liabl tort commit independ contractor,"It is well established that the United States is not, because of its sovereign immunity, liable for torts committed by independent contractors. 28 U.S.C. § 2671 provides in pertinent part:",True,True
66704,74d3707c-bb2d-4a0b-a484-d08c01802eb7,"GUTHRIE v. NATIONAL RURAL ELEC., 509 F.3d 644 (4th Cir. 2007)",2007-12-11,31,court review denial benefit erisa polici abus discret polici grant administr fiduciari final conclus discretionari author,"It is well-settled that courts review the denial of benefits under an ERISA policy for """"abuse of discretion"""" if the policy grants the administrator or fiduciary final and conclusive discretionary authority. Carolina CarePlan Inc. v. McKenzie, 467 F.3d 383, 386 (4th Cir. 2006).",True,True
66808,c72870b5-7027-45d7-8309-02b336d4a970,"UNITED STATES v. FINNEY, 439 F.2d 1116 (9th Cir. 1971)",1971-03-24,32,local board requir take action concern request chang classif file registr refus induct,It is now well established that a local board is not required to take action concerning a request for a change in classification which is filed after the registrant has refused induction.,True,True
68687,5cf2f92d-3490-40f2-b265-3f6550d63335,"U.S. v. STOUT, 509 F.3d 796 (6th Cir. 2007)",2007-12-20,33,import indic prob valu evid prosecut need evid prove case,"It is well-established that """"an important indication of probative value of evidence is the prosecution''s need for the evidence in proving its case."""" United States v. Vance,871 F.2d 572, 576 (6th Cir.1989); see also United States v.Ray, 189 Fed.Appx. 436, 445 (6th Cir.), cert.denied, ___ U.S. ___, 127 S.Ct. 692, 166 L.Ed.2d 537(2006).",True,True
67056,d55942ee-ca64-4986-a5b2-31e9289f1d61,"U.S. v. MARJI, 158 F.3d 60 (2nd Cir. 1998)",1998-08-25,34,juror shown actual bia exclud mere member particular occup even law enforc,It is well settled that a juror not shown to have actual bias is not excludable merely because he or she is a member of a particular occupation or even of law enforcement.,True,True
67508,3cc86c73-a718-4df4-9f59-a3d74ce42079,"KOWALCZYK v. I.N.S., 245 F.3d 1143 (10th Cir. 2001)",2001-04-06,35,even charg enter countri illeg entitl due process threaten deport,"It is well established that """"even those charged with entering the country illegally, are entitled to due process when threatened with deportation."""" Llana-Castellon v. INS,16 F.3d 1093, 1096 (10th Cir. 1994) (citing cases). """"The fundamental requirement of due process is the opportunity to be heard at a meaningful time and in a meaningful manner."""" Mathews v. Eldridge,424 U.S. 319,333, 96 S.Ct. 893, 47 L.Ed.2d 18 (1976) (internal quotations and citations omitted).",True,True
66390,28996b3a-9a90-4a7d-af9a-ec687e9753af,"ALDERMAN v. UNITED STATES, 31 F.2d 499 (5th Cir. 1929)",1929-03-25,36,extent cross-examin sound discret court wider latitud allow cross-examin parti,"It is well settled that the extent of cross-examination is in the sound discretion of the court, and wider latitude is allowed in cross-examining a party.",True,True
64655,d03a0629-1e49-495b-bbde-61e2f02d31fe,"MICRO STAR v. FORMGEN INC., 154 F.3d 1107 (9th Cir. 1998)",1998-09-11,37,right gain copyright act may abandon,It is well settled that rights gained under the Copyright Act may be abandoned.,True,True
64053,d52c07f5-52c9-4d90-9b74-20c2f89d7298,"ACEVEDO-GARCIA v. MONROIG, 02-1139 (1st Cir. 2003)",2003-12-05,38,doubl award injuri impermiss,"It is well-settled that double awards for the same injury are impermissible. Lewis v. Kendrick,944 F.2d 949, 954 (1st Cir. 1991);Freeman v. Package Mach.",True,True
62952,627f1469-8c7e-4509-a0d4-dc7636b00633,"UNITED STATES v. TAYLOR, 544 F.2d 347 (8th Cir. 1976)",1976-11-11,39,court appeal entertain appeal final judgment order grant new trial final judgment,It is well-established law that courts of appeal will entertain appeals only from final judgment and that an order granting a new trial is not a final judgment.,True,True
17890,25bd7f26-c209-4eb8-98bd-017b3673c374,"IN RE FEDERAL MOGUL-GLOBAL, INC., 348 F.3d 390 (3rd Cir. 2003)",2003-10-31,40,ident word use differ part act intend mean,"It is well established that """"[i]dentical words used in different parts of the same act are intended to have the same meaning."""" Barnhart v. Walton,535 U.S. 212, 221,122 S.Ct. 1265,152 L.Ed.2d 330 (2002) (quoting Dept. of Revenue of Ore. v. ACFIndus., Inc.,510 U.S. 332, 342, 114 S.Ct. 843, 127 L.Ed.2d 165(1994)).",True,True
69605,c49c16b2-46c0-4791-93b8-44a88351142d,"SMITH  LEE ASSOCIATES v. CITY OF TAYLOR, 102 F.3d 781 (6th Cir. 1996)",1996-12-16,42,discriminatori enforc otherwis neutral zone practic may evid illeg discrimin,It is well-settled that discriminatory enforcement of otherwise neutral zoning practices may be evidence of illegal discrimination.,True,True
66005,142ecfde-8ee9-4baf-891d-8ea23bced145,"ROBINSON v. UNITED STATES, 333 F.2d 323 (8th Cir. 1964)",1964-06-16,43,grade larceni consequ punish depend valu properti essenti valu properti alleg proven,"It is well settled that """"where the grade of larceny, and consequently the punishment, depend on the value of the property, it is essential that the value of the property"""" not only be alleged but proven.",True,True
60213,9e2dfaf6-edc3-42e4-819f-beabe5484f8f,"BURLINGTON NORTHERN v. WEYERHAEUSER CO., 719 F.2d 304 (9th Cir. 1983)",1983-10-25,44,clearli erron standard review appli find fact even district court reli sole written record,"It is well established that the clearly erroneous standard of review applies to findings of fact even when the district court relies solely on a written record. See Nicholson v. Board of Education,682 F.2d 858, 864 n. 6 (CA9 1982); United States v. Mountain StatesConstruction Company,588 F.2d 259, 264 n. 5 (CA9 1978);Lundgren v. Freeman,307 F.2d 104, 115 (CA9 1962).",True,True
61439,8d3f8cee-6729-4d4f-bd29-527921b0ec05,"AMERICAN DIVERSIFIED FOODS, INC. v. N.L.R.B., 640 F.2d 893 (7th Cir. 1981)",1981-02-24,46,one criteria mention § 2 11 need present justifi find question occup supervisori,"It is well established that only one of the criteria mentioned in § 2(11) need be present to justify a finding that the questioned occupation is supervisory. NLRB v. Brown Specialty Co.,436 F.2d 372, 375(7th Cir. 1971).",True,True
66331,ccd9d160-5f42-401a-a06a-ae1b9052f3c7,"U.S. v. CANDELARIO-CAJERO, 134 F.3d 1246 (5th Cir. 1998)",1998-02-06,47,district court must explain reason depart guidelin,It is well-established that district courts must explain their reasons for departing from the Guidelines.,True,True
67448,aa8bfa07-5c7b-41f7-a55e-eaec48e39900,"BOYNTON v. FOX WEST COAST THEATRES CORPORATION, 60 F.2d 851 (10th Cir. 1932)",1932-08-01,48,produc manufactur ship motion pictur film one state lesse anoth state exhibit lesse engag interst commerc,"It is well settled that a producer or manufacturer, who ships motion picture films from one state to lessees in another state to be exhibited by the lessees, is engaged in interstate commerce.",True,True
65488,0de51f5a-ccb3-403d-84b7-9aeb9f40bf5a,"CASEY v. SECRETARY OF HEALTH  HUMAN SERVICES, 987 F.2d 1230 (6th Cir. 1993)",1993-02-08,49,alj may pose hypothet question vocat expert requir incorpor limit accept credibl finder fact,"It is well established that an ALJ may pose hypothetical questions to a vocational expert and is required to incorporate only those limitations accepted as credible by the finder of fact. SeeHardaway,823 F.2d at 927-28.",True,True
61141,14239997-9be0-4021-995a-2d73993f2319,"HALL v. BABB, 389 F.3d 758 (7th Cir. 2004)",2004-11-24,50,hire fire transfer govern employe base polit motiv violat first amend certain except policymak posit employe confidenti relationship superior,"It is well established that hiring, firing, or transferring government employees based on political motivation violates the First Amendment, with certain exceptions for policymaking positions and for employees having a confidential relationship with a superior.",True,True
65003,061eb316-4601-4dd0-94cc-8ba2ea1ebdb5,"BAXTER HEALTHCARE CORP. v. O.R. CONCEPTS, INC., 69 F.3d 785 (7th Cir. 1995)",1995-11-02,51,chang corpor ownership constitut variat corpor contractu oblig,It is well settled that a change in corporate ownership does not constitute a variation of that corporation''s contractual obligations. U.S. Can Co.v.,True,True
59957,6894997a-621b-4146-9404-0983e92d69d2,"AMAE v. STATE OF CALIFORNIA, 183 F.3d 1055 (9th Cir. 1999)",1999-07-12,53,parent compani usual consid employ titl vii employe subsidiari,"It is well established that a parent company will not usually be considered the """"employer"""" under Title VII for the employees of its subsidiary.",True,True
65869,53461783-a0c3-461a-a757-a49d6ab4471d,"UNITED STATES v. LEWIS, 716 F.2d 16 (D.C. Cir. 1983)",1983-08-19,55,conspiraci defraud encompass scheme cheat govern money scheme obstruct law government function,"It is well settled with respect to the federal provision that conspiracy to defraud encompasses both schemes to cheat the government out of money and schemes to obstruct lawful governmental functions. See, e.g., Dennis v. UnitedStates,384 U.S. 855, 859-864, 86 S.Ct. 1840, 1843-1846,16 L.Ed.2d 973 (1966); Hammerschmidt v. United States,265 U.S. 182,188, 44 S.Ct. 511, 512, 68 L.Ed. 968 (1924).",True,True
64534,e5a189ca-93db-4b9c-bbb9-7f485ef35522,"JOHNSON v. WARDEN, 134 F.2d 166 (9th Cir. 1943)",1943-02-26,56,order establish purpos defraud unit state within contempl § 28 crimin code necessari prove govern would therebi suffer pecuniari loss,"It is well settled that in order to establish a purpose to defraud the United States, within the contemplation of § 28 of the Criminal Code, it is not necessary to prove that the government would thereby suffer a pecuniary loss.",True,True
65473,cb82521f-d698-4e39-9a60-9f1d2e6f131f,"PASTERNAK v. C.I.R., 990 F.2d 893 (6th Cir. 1993)",1993-04-08,58,taxpay engag purport trade busi partnership profit motiv determin partnership level,"It is well-settled that if a taxpayer engages in a purported trade or business through a partnership, profit motive is to be determined at the partnership level. Brannen v. Commissioner,722 F.2d 695, 703(11th Cir. 1984). See also, Polakof v. Commissioner,820 F.2d 321,323 (9th Cir. 1987), cert. denied,484 U.S. 1025,108 S.Ct. 748, 98 L.Ed.2d 761 (1988); Simon v. Commissioner,830 F.2d 499,507 (3rd Cir. 1987); Tallal v. Commissioner,778 F.2d 275,276 (5th Cir. 1985).",True,True
47455,3674c28b-0ef4-4d1d-9b79-48027e6b7ee4,"BLACK v. SHERATON CORP. OF AMERICA, 564 F.2d 531 (D.C. Cir. 1977)",1977-08-22,59,defend liabl harm result outsid forc risk increas defend conduct,"It is well established that the defendant is not liable where the harm results from an outside force, the risk of which is not increased by the defendant''s conduct.",True,True
64002,5efcd06b-1cf5-455e-9fea-b448531dba63,"FIRST NAT. BANK OF ATLANTA v. S. COTTON OIL CO., 78 F.2d 339 (5th Cir. 1935)",1935-06-07,60,convey made simpli secur unnecessari contain express condit defeas impli law,"It is well settled that where a conveyance is made simply for security, it is unnecessary that it contain an express condition of defeasance, as that is implied by the law.",True,True
63111,a7a2397f-6265-43ee-86f5-ebedd0cd54ce,"U.S. v. COLEMAN, 349 F.3d 1077 (8th Cir. 2003)",2003-12-17,61,bruton error subject harmless-error analysi,"It is well-established that a Bruton error is subject to harmless-error analysis. Edwards,159 F.3d at 1128.",True,True
62842,07666d76-4066-45e1-b0ae-7f49b9f74fea,"EX PARTE THOMAS, 114 F.2d 847 (D.C. Cir. 1940)",1940-10-18,62,final approv sale deed trust constitut final order court,It is too well settled to admit of doubt that the final approval of a sale under deed of trust constitutes a final order of the court.,True,True
68757,ab7053a4-0c89-48b3-94c6-77aec0c87c0b,"UNITED STATES v. BRAY, 546 F.2d 851 (10th Cir. 1976)",1976-12-06,63,prior written attack upon judg legal insuffici support charg bia prejudic part judg toward author statement,"It is well settled that prior written attacks upon a judge are legally insufficient to support a charge of bias or prejudice on the part of the judge toward the author of such a statement. In re Union Leader Corp.,292 F.2d 381, 389 (1st Cir.), cert. denied, 368 U.S. 927, 82 S.Ct. 361, 7 L.Ed.2d 190 (1961), noted in 8 Utah L.Rev. 75 (1962); United States v. Fujimoto,101 F. Supp. 293, 296 (D.Hawaii 1951), motion for leave to file petition for writ of prohibition or mandamus denied, Fujimoto v. Wiig,344 U.S. 852, 73 S.Ct. 102, 97 L.Ed. 662 (1952). The reasoning behind these decisions is not difficult to ascertain.",True,True
18155,b1b21ef9-d332-479d-a06e-5ff5ab4937e3,"PALAZZOLO v. GORCYCA, 244 F.3d 512 (6th Cir. 2001)",2001-03-27,64,accus must suffer jeopardi suffer doubl jeopardi,"It is well settled that """"an accused must suffer jeopardy before he can suffer double jeopardy."""" Serfass v.United States,420 U.S. 377, 393, 95 S.Ct. 1055, 43 L.Ed.2d 265(1975).",True,True
65383,406dd738-380a-4bb6-8b83-47ab68b4a293,"UNITED STATES v. CORDLE, 377 F.2d 522 (6th Cir. 1967)",1967-05-23,65,grant refus new trial upon newli discov impeach evid includ recant wit rest sound discret trial judg grant unless new evid probabl would bring differ result,"It is well settled that the granting or refusing of a new trial upon newly discovered impeaching evidence, including recantation by a witness, rests in the sound discretion of the trial judge and will not be granted unless the """"new"""" evidence probably would bring about a different result.",True,True
59783,21c40018-2ed4-4135-93cb-6a8e25c0ca25,"HELLER TRUST v. C.I.R., 382 F.2d 675 (9th Cir. 1967)",1967-08-24,66,case one must decid fact,It is well settled that a case such as the one here must be decided on its own facts.,True,True
38714,2a5e8a9d-6a57-471e-b451-b76911b959d9,"GROVE v. UNITED STATES, 3 F.2d 965 (4th Cir. 1925)",1925-01-17,67,decoy may use entrap crimin present opportun one intend will commit crime,"It is well settled that decoys may be used to entrap criminals, and to present opportunity to one intending or willing to commit crime.",True,True
55950,83c86784-7ab1-4495-af4b-9af18c3e6a7c,"AMERIKOHL MIN., INC. v. U.S., 899 F.2d 1210 (Fed. Cir. 1990)",1990-04-10,68,plain unambigu mean word use congress prevail absenc clearli express legisl intent contrari,"It is well-settled law that the plain and unambiguous meaning of the words used by Congress prevails in the absence of a clearly expressed legislative intent to the contrary. See Mansell v.Mansell, ___ U.S. ___, 109 S.Ct. 2023, 2030, 104 L.Ed.2d 675(1989); LSI Computer Sys. v. United States Int''l Trade Comm''n,832 F.2d 588, 590 (Fed. Cir. 1987).",True,True
60927,b0b84a07-c53e-4dc5-aaf0-7a1b93514fdd,"U.S. v. IRVING, 432 F.3d 401 (2nd Cir. 2005)",2005-12-23,69,convict crimin law must stand firmer ground uncorrobor admiss defend,It is a well-established principle that a conviction in criminal law must stand on firmer ground than an uncorroborated admission by defendant.,True,True
65185,e3a1dd37-f514-40de-8684-8c5a0fea6426,"McCARTHY v. OPTION ONE MORTG. CORP., 362 F.3d 1008 (7th Cir. 2004)",2004-04-06,70,district court enjoy broad discret control discoveri,"It is well-settled that district courts enjoy broad discretion in controlling discovery. See Leffler v. Meer,60 F.3d 369, 374 (7th Cir. 1995).",True,True
67180,7cf84ff7-cba9-4c18-9c10-562342155cb6,"U.S. v. BANKS, 405 F.3d 559 (7th Cir. 2005)",2005-04-21,71,probabl caus establish inform tip along corrobor polic work,"It is well settled that probable cause can be established by an informant''s tip along with corroboration by police work. See,e.g., Illinois v. Gates,462 U.S. 213, 241-45, 103 S.Ct. 2317,76 L.Ed.2d 527 (1983); United States v. McClinton,135 F.3d 1178, 1183-84 (7th Cir. 1998).",True,True
63933,7dab4bbb-e909-44eb-82ef-5aebd093ce2d,"UNITED STATES v. LEDEZMA-HERNANDEZ, 729 F.2d 310 (5th Cir. 1984)",1984-03-26,72,defend request counsel interrog must ceas attorney present,"It is well established that if the defendant requests counsel, the interrogation must cease until an attorney is present. Mirandav.",True,True
68460,734b3724-aef3-41ae-b58b-1ad7322f2dff,"UNITED STATES v. CYPHERS, 556 F.2d 630 (2nd Cir. 1977)",1977-02-08,75,speedi trial claim must time assert,It is well established that a speedy trial claim must be timely asserted.,True,True
67051,bdaaaaf4-df00-4fc1-8c39-04d59d53138d,"SCHNEIDER v. WHALEY, 541 F.2d 916 (2nd Cir. 1976)",1976-08-20,76,preliminari injunct extraordinari remedi must grant except upon clear show likelihood success irrepar injuri,"It is well settled that a preliminary injunction is an extraordinary remedy and must not be granted except upon a clear showing that there is a likelihood of success and irreparable injury. Checker MotorsCorp. v. Chrysler Corp.,405 F.2d 319, 323 (2d Cir.),cert. denied,394 U.S. 999, 89 S.Ct. 1595, 22 L.Ed.2d 777 (1969); Sanders v. Air Line Pilots Ass''n Int''l,473 F.2d 244, 248 (2d Cir. 1972).",True,True
64667,bdeccbae-1185-4868-8e37-4e8f89109510,"HOSPITAL ASS'N OF NEW YORK STATE, INC. v. TOIA, 577 F.2d 790 (2nd Cir. 1978)",1978-04-27,77,estoppel rest upon word deed one parti upon anoth right reli reli chang posit injuri,"It is well established that """"[a]n estoppel rests upon the word or deed of one party upon which another rightfully relies and so relying changes his position to his injury.",True,True
69237,e5849271-df82-4f7b-b3eb-7cb887408937,"DEBRECENI v. OUTLET CO., 784 F.2d 13 (1st Cir. 1986)",1986-02-18,78,parti contract bound written agreement execut intent,"It is well-settled in New York that parties to a contract will not be bound until a written agreement is executed, if that is their intention. See, e.g., Scheck v. Francis,26 N.Y.2d 466, 311 N.Y.S.2d 841, 842, 260 N.E.2d 493, 494 (1970).",True,True
62124,a7bd663c-2c1e-4510-962c-06e1d72340ee,"UNITED STATES v. SHAID, 730 F.2d 225 (5th Cir. 1984)",1984-04-06,79,use mail separ offens mail fraud statut consecut sentenc may impos properli even mail aros singl concert plan defraud,"It is well established that each use of the mails is a separate offense under the mail fraud statute and that consecutive sentences may be imposed properly, even if the mailings arose from a single concerted plan to defraud. See,United States v. Calvert,523 F.2d 895 (8th Cir. 1975), cert.denied,424 U.S. 911, 96 S.Ct. 1106, 47 L.Ed.2d 314 (1976);United States v. Shelton,669 F.2d 446 (7th Cir. 1982), cert.denied,456 U.S. 934, 102 S.Ct. 1989, 72 L.Ed.2d 454; andUnited States v. Benmuhar,658 F.2d 14 (1st Cir. 1981), cert.denied,457 U.S. 1117, 102 S.Ct. 2927, 73 L.Ed.2d 1328, reh''gdenied,458 U.S. 1132, 103 S.Ct. 16, 73 L.Ed.2d 1402.",True,True
59207,d6286450-1369-42dc-99d7-f6c458d2b6e1,"PURCELL v. SUMMERS, 126 F.2d 390 (4th Cir. 1942)",1942-03-09,80,measur jurisdict suit injunct valu plaintiff right seek protect,It is well settled that the measure of jurisdiction in a suit for injunction is the value to plaintiff of the right which he seeks to protect.,True,True
61544,e6604713-ee2c-41cf-ab49-6188c9c02292,"McMAHAN v. UNITED STATES, 424 F.2d 1216 (7th Cir. 1970)",1970-03-03,82,declar one conspir further object conspiraci made third parti admiss co-conspir,It is well-settled that the declarations of one conspirator in furtherance of the objects of a conspiracy made to a third party are admissible against his co-conspirators.,True,True
